,eng,gt,gtdnetcnn
107,"works it is furpaffed by the Schaver gardens, which have alfo a pretty","works it is surpassed by the Schaver gardens, which have also a pretty","works it is surpassed by the Schaver gardens, which have also a pretty"
108,"aviary; its owner is famous for his excellent balfam, of which prince","aviary; its owner is famous for his excellent balsam, of which prince","aviary; its owner is famous for his excellent balsam, of which prince"
109,Eugene ufed to order a large quantity again{t the opening of every-cam-,Eugene used to order a large quantity against the opening of every cam-,Eugene used to order a large quantity against the opening of every -cam-
110,“paign.,paign.,paign.
111,The deliverance of this city from the Bavarian yoke is commemorated,The deliverance of this city from the Bavarian yoke is commemorated,The deliverance of this city from the Bavarian yoke is commemorated
112,by the following medal of the fourth magnitude; on one fide fit two,by the following medal of the fourth magnitude; on one side sit two,by the following medal of the fourth magnitude; on one side sit two
113,women with mural crowns pointing with joy to each other at the broken,women with mural crowns pointing with joy to each other at the broken,women with mural crowns pointing with joy to each other at the broken
114,French chains; their fhields and arms fhew them to be Aug/burg and,French chains; their shields and arms shew them to be Augsburg and,French chains; their shields and arms shew them to be Augsburg and
115,Ulm. Near them the goddefs of victory purfues the enemy acrofs a river.,Ulm. Near them the goddess of victory pursues the enemy across a river.,Ulm. Near them the goddess of victory pursues the enemy across a river.
116,"The infcription is,","The inscription is,","The inscription is,"
117,"Augufla Vindehcorum liberata, Ulma recuperata, bofles ultra Rhenum fu-","Augusta Vindelicorum liberata, Ulma recuperata, bostes ultra Rhenum fu-","Augusta Vindelicorum liberata, Ulma recuperata, boftes ultra Rhenum fu-"
118,galt.,gati.,gat.
119,"‘ Augsburg refcuéd, Ulm reftored, and the enemy drove beyond the","'Augsburg rescued, Ulm restored, and the enemy drove beyond the","Augsburg rescuéd, Ulm restored, and the enemy drove beyond the"
120,© Rhine.,' Rhine.,* Rhine.
121,"Undei neath,","Underneath,","Undeineath,"
122,Tranguillitas Redux. © Tranquility reftored.’,Tranguillitas Redux. 'Tranquility restored.’,Tranguillitas Redux. Tranquility restored.’
123,"On the other fide is the emperor in a Roman military habit, with a","Oa the other side is the emperor in a Roman military habit, with a","Oa the other side is the emperor in a Roman military habit, with a"
124,"woman at his fect, laying a fhield before him, with the Bavar‘an arms.","woman at his sect, laying a shield before him, with the Bavarian arms.","woman at his sect, laying a shield before him, with the Bavarian arms."
125,"Thi infcription is,","The inscription is,","The inscription is,"
126,"Bavaria ad cbfeguiuim redivis,",Bavaria ad obsequium redicns.,Bavaria ad chfequium redicas.
127,‘ Bavaria returning to its allegiance.’,Bavaria returning to its allegiance.’,Bavaria returning to its allegiance.’
128,a And,And,#NAME?
129,300,300,300
130,Of the depreffed State of the Prnpmontese WVobility.,Of the depressed State of the Piedmontese Nobility.,Of the depressed State of the PizDmonTESE Nobility.
131,"been worked off, to be cancelled and reprinted. Is it not a mortification","been worked off, to be cancelled and reprinted. Is it not a mortification","been worked off, to be cancelled and reprinted. Is it not a mortification"
132,"-to the greateft human endowments, that fo great a prince as his Sard-","to the greatest human endowments, that so great a prince as his Sardi-","to the greatest human endowments, that so great a prince as his Sardi-"
133,"nian majetty, fhould be fo infatuated as not to difcern the groffeft flat-","nian majesty, should be so infatuated as not to discern the grossest flat-","nian majesty, should be so infatuated as not to discern the grossest flat-"
134,"tery, or fo intoxicated with power as to be pleafed with it.","tery, or so intoxicated with power as to be pleased with it.","tery, or so intoxicated with power as to be pleased with it."
135,"The above-inentioned ordinances, befides his majefty’s fignature, are","The above-mentioned ordinances, besides his majesty’s signature, are","The above-inentioned ordinances, besides his majesty’s signature, are"
136,"figned by the marquiffes Riccardi, as keeper of the feals, Paina, Mertlla-","signed by the marquisses Riccardi, as keeper of the seals, Palma, Meilla-","signed by the marquisses Riccardi, as keeper of the seals, Pama, Meilla-"
137,rede and Ferrero; but the firft was obliged to put the feal to them before,rede and Ferrero; but the first was obliged to put the seal to them before,rede and Ferrero; but the first was obliged to put the seal to them before
138,"-he had ever read them. He indeed expoftulated for fome time, alledg-","he had ever read them. He indeed expostulated for some time, alledg-","he had ever read them. He indeed expostulated for some time, alledg-"
139,"ing, ‘.that his office required the previous reading of every ordinance,","ing, ' that his office required the previous reading of every ordinance,","ing, that his office required the previous reading of every ordinance,"
140,"adding, ‘ that their contents might be fuch, as required remonftrances to","adding, ' that their contents might be such, as required remonstrances to","adding, * that their contents might be such, as required remonstrances to"
141,"‘ be made againft them.’ The anfwer was, ‘ that by the kii:g’s exprefs","'be made against them.' The answer was, ' that by the king’s express","be made against them.” The answer was, * that by the kinzg’s express"
142,‘ order the acts were to be immediately fign’d and feal’d; that otherwife,'order the acts were to be immediately sign’d and seal’d; that otherwise,order the acts were to be immediately sign’d and seal’d; that otherwise
143,"‘ fomebody elfe fhould do it, upon which Riccardi obey’ ‘d without mak-","'somebody else should do it, upon which Riccardi obey’d without mak-","somebody else should do it, upon which Riccardi obey’ a without mak-"
144,‘ ing any further objection.’,'ing any further objection.’,< ing any further objection.’
145,I fhall conclude with this obfervation concerning the nobility of Pic d-,I shall conclude with this observation concerning the nobility of Pied-,Ithall conclude with this observation concerning the nobility of Pie d-
146,"mont and Savoy, that, like the Englifh and French, perfons of the fame","mont and Savoy, that, like the English and French, persons of the same","mont and Savoy, that, like the English and French, persons of the fame"
147,family affume different titles from their eftates or fiefs; fo that fometimes,family assume different titles from their estates or fiefs; so that sometimes,family assume different titles from their estates or fiefs; so that sometimes
148,hufband and wife dont bear the fame’name. The daughter in law of,husband and wife dont bear the same name. The daughter in law of,hufband and wife dont bear the same name. The daughter in law of
149,the old princefs and widow of Ci/terne is call’d the marchionefs de /a,the old princess and widow of Cisterne is call’d the marchioness de la,the old princess and widow of Cisterne is call’d the marchioness de la
150,"Trouffe, and the lady of her grandfon the prefent prince de Cifferne bears","Trousse, and the lady of her grandson the present prince de Cisterne bears","Trousse, and the lady of her grandson the present prince de Cisterne bears"
151,the title of marchionefs de Voghera; for there is but one perfon of each,the title of marchioness de Voghera; for there is but one person of each,the title of marchioness de Voghera; for there is but one person of each
152,fex in this family call’d by the name of de Ci/ferne. The count de Gouvon's,sex in this family call’d by the name of de Cisterne. The count de Gouvon’s,sex in this family call’d by the name of de Cisterne. The count de Gouvon’s
153,"fon is call’d marquis de Bage, and his grandfon count de Fabrian. ‘This","son is call’d marquis de Bage, and his grandson count de Fabrian. This","son is call’d marquis de Bage, and his grandson count de Fabrian. This"
154,"cuftom has one conveniency, namely, that in a place where many per-","custom has one conveniency, namely, that in a place where many per-","custom has one conveniency, namely, that in a place where many per-"
155,"fons of the fame family refide, there is no need of adding the names of","sons of the same family reside, there is no need of adding the names of","sons of the fame family reside, there is no need of adding the names of"
156,their offices or other circumftances. It is difficult indeed for a foreigner,their offices or other circumstances. It is difficult indeed for a foreigner,their offices or other circumstances. It is difficult indeed for a foreigner
157,to attain to a particular acquaintance with thefe genealogies; fo that it,to attain to a particular acquaintance with these genealogies; so that it,to attain to a particular acquaintance with these genealogies; so’ that it
158,behoves him to be very cautious in his queftions or cenfures concerning,behoves him to be very cautious in his questions or censures concerning,behoves him to be very cautious in his questions or censures concerning
159,"any perfon, as poffibly he may be nearly related to him with whom he","any person, as possibly he may be nearly related to him with whom he","any person, as possibly he may be nearly related to him with whom he"
160,"-is converfing, tho’ he bears a different name.","is conversing, tho’ he bears a different name.","is conversing, tho’ he bears a different name."
161,LETTER,LETTER,LETTER
162,474,474,74
163,"Sxirrox. about three quarters of a year before, a","Skippon. about three quarters of a year before, a","SkipPon. about three quarters of a year before, a"
164,"wv~ mott fad fire, that ruin’d all the houfes,","most sad fire, that ruin’d all the houses,","most sad fire, that ruin’d all the houses,"
165,and many churches. This city belongs to,and many churches. This city belongs to,and many churches. This city belongs to
166,"the archduke of Jn/pruck, who hath be-","the archduke of Inspruck, who hath be-","the archduke of Inspruck, who hath be-"
167,{towed 50000 dollars towards its repair.,stowed 50000 dollars towards its repair.,stowed 50000 dollars towards its repair.
168,The citizens are efteemed rich.,The citizens are esteemed rich.,The citizens are esteemed rich.
169,The great church hath a choir fairly,The great church hath a choir fairly,The great church hath a choir fairly
170,"built of {tone, on the fouth fide whereof","built of stone, on the south side whereof","built of stone, on the south fide whereof"
171,"is written,","is written,","is written,"
172,The great,The great,The great
173,church.,church.,church.
174,O Welt. Aino Dom. Mecccvit: in die Sti:,O Welt. Anno Dom. mccccvII. in die Sti.,O Welt. Anno Dom. mccecvit. in die Sti
175,Stephani protomartyris Patroni bujus eccle-,Stephani protomartyris Patroni bujus eccle-,Stephani protomartyris Patroni bujus eccle-
176,"fie gloriofi inchoatus eft hic chorus, pafi-","siea gloriosi inchoatus est bic chorus, posi-","sea gloriofi inchoatus eft bic chorus, posi-"
177,"tujg, primarius lapis, bujus fundamenti","tusq primarius lapis, bujus fundamenti","tusgs primarius lapis, bujus fundamenti"
178,Colle: > + + atrem &F Dominum : - *,Colle.... atrem & Dominum....,Colle---- atrem & Dominum
179,"""++ reprefentib.",....repraesentib.,*reprafsentib.
180,"There is a bifhop of this place, over","There is a bithop of this place, over","There is a bithop of this place, over"
181,"the door of whofe palace is written,","the door of whose palace is written,","the door of whose palace is written,"
182,Aulam hance & Gotfrido a Weiffeneckh E P,Aulam hanc a Gotfrido a Weisseneckh E P,Aulam hance a Gotfrido a Weisfeneckh EP
183,C A. D. 1345. edificatam fed vetuftate,C A. D. 1345. aedificatam sed vetustate,C A. D. 1345. adificatam fed vetustate
184,fere collaplam reftauravit magna ex,fere collapsam restauravit & magna ex,sere collapsam restauravit & magna ex
185,parte de novo excitavit atq; in elegantio-,parte de novo excitavit atq; in elegantio-,parte de novo excitavit atq; in elegantio-
186,rem formam redegit Urannus & Treirbach.,rem formam redegit Urannus a Treirbach.,rem formam redegit Urannus a Treirbach.
187,"P. Pat. duno Dom, mpvxi111.",P. Pat. Anno Dom. MDLXIIII.,P. Pat. Anno Dom. mp XIII.
188,This place is feated at the meeting of,This place is seated at the meeting of,This place is seated at the meeting of
189,"the river Jz and the Danube, on the weft","the river In and the Danube, on the west","the river In and the Danube, on the west"
190,"fide of the Zz, over which isa bridge that","fide of the In, over which is a bridge that","fide of the In, over which is a bridge that"
191,"leads to a town called Jn/tat, right againft","leads to a town called Instat, right against","leads to a town called Instat, right against"
192,"which, on the other fide of the Danaw,","which, on the other side of the Danaw,","which, on the other side of the Danaw,"
193,"is Iliz(fat, fo called from the river I/tz or","is Iltzstat, so called from the river Iltz or","is liz(tat, so called from the river Itz or"
194,Lfifus. Here there is a caftle on a high,Isissus. Here there is a castle on a high,Aissus. Here there is a castle on a high
195,"hill. From Vil/hoven the hilly fhores, on","hill. From Vilshoven the hilly shores, on","hill. From Vilsboven the hilly shores, on"
196,"both fides, were fhaded with pine woods,","both sides, were shaded with pine woods,","both sides, were shaded with pine woods,"
197,&c. and from Paffaw we obferved the,&c. and from Passaw we observed the,&c. and from Passaw we observed the
198,Danube to have a fwifter ftream than,Danube to have a swifter stream than,Danube to have a swifter stream than
199,"before. We pafs’d by Schuaider/niffell, a","before. We pass’d by Schnaidersnissell, a","before. We pass’d by Schuaidersnifsell, a"
200,houfe built upon a little rock on the right,house built upon a little rock on the right,house built upon a little rock on the right
201,hand; and farther on ftands a rock in the,hand; and farther on stands a rock in the,hand; and farther on stands a rock in the
202,river; with a crofs upon it. Then we,"river, with a cross upon it. Then we","tiver, with a cross upon it. Then we"
203,"went by a caftle on the left fide, and after-","went by a castle on the left fide, and after-","went by a castle on the left fide, and after-"
204,"wards, on the fame hand, feven miles","wards, on the same hand, seven miles","wards, on the same hand, seven miles"
205,"from Paffaw, faw Nayhoufe cattle on a","from Passaw, saw Nayhouse castle on a","from Passaw, saw Nayhouse castle on a"
206,"hill, where fome rufticks that rebelled","hill, where some rusticks that rebelled","hill, where some rusticks that rebelled"
207,"againft the emperor garifoned themfelves,","against the emperor garisoned themselves,","against the emperor garisoned themselves,"
208,and chained up the Dazube. This rebellion,and chained up the Danube. This rebellion,and chained up the Danube. This rebellion
209,was about 34 years ago; the author of,was about 34 years ago; the author of,was about 34 years ago; the author of
210,"it, one Stephanus Fatinger. General Pa-","it, one Stephanus Fatinger. General Pa-","it, one Stephanus Fatinger. General Pa-"
211,"penbeim flew thoufands of them in battle,","penheim slew thousands of them in battle,","penbeim slew thousands of them in battle,"
212,"and difperfed the reft, and the ringleaders","and dispersed the rest, and the ringleaders","and dispersed the rest, and the ringleaders"
213,that were taken punifhed according to,that were taken punished according to,that were taken punished according to
214,their defert. In the evening we came to our,their desert. In the evening we came to our,their desert. In the evening we came to our
215,"lodging at Ach, a pretty {mall village of","lodging at Asch, a pretty small village of","lodging at Asch, a pretty small village of"
216,"the emperor’s, on the right fide of the","the emperor’s, on the right side of the","the emperor’s, on the right side of the"
217,river in the upper Auftria. The people,river in the upper Austria. The people,river in the upper Austria. The people
218,of this country are efteemed very ftout,of this country are esteemed very stout,of this country are esteemed very stout
219,and hardy.,and hardy.,and hardy.
220,"Below this village, for fome diftance,","Below this village, for some distance,","Below this village, for some distance,"
221,there are no hills by the Daxube. ;,there are no hills by the Danube. ,there are no hills by the Danube. ;
222,Ajch is 12 German miles from Vil/hovem,Asch is 12 German miles from Vilshover.,Asch is 12 German miles from Vilshover
223,September 14. Early in the morning we,September 14. Early in the morning we,September 14. Early in the morning we
224,"took boat, and had, on the right hand","took boat, and had, on the right hand","took boat, and had, on the right hand"
225,"of us, a rock called Aons Calvarie, there","of us, a rock called Mons Calvariae, there","of us, a rock called Mons Calvaria, there"
226,A journey thro Part of the,A Journey thro’ Part of the,A Journey thro’ Part o the
227,[ Germ.,[Germ.,[Germ.
228,being a pretty little chapel built upon it.,being a pretty little chapel built upon it.,being a pretty little chapel built upon it.
229,Tereabouts again we began to have hills,Hereabouts again we began to have hills,Hereabouts again we began to have hills
230,"on both fides the river; and, from that","on both sides the river ; and, from that","on both sides the river ; and, from that"
231,"chapel, we obferved fix altars before we.","chapel, we observed six altars before we","chapel, we observed six altars before we"
232,"came four miles from Ach to Lintz, avery Lintz.","came four miles from Asch to Lintz, a very Lintz.","came four miles from Asch to Lintz, a very Linta."
233,"neat handfome city on the right hand,","neat handsome city on the right hand,","neat handsome city on the right hand,"
234,feated on the fide of a hill. The houfes-,seated on the side of a hill. The houses,seated on the side of a hill. The houses
235,"are fairly built of ftone, and have all of","are fairly built of stone, and have all of","are fairly built of stone, and have all of"
236,them flat roofs. The market place is very,them flat roofs. The market place is very,them flat roofs. The market place is very
237,"handfome, being a large fquare piazza,","handsome, being a large square piazza,","handsome, being a large square piazza,"
238,with two fountains in it. The ftreets are,with two fountains in it. The streets are,with two fountains in it. The streets are
239,badly pav’d. On the higheft part of the,badly pav’d. On the highest part of the,badly pav’d. On the highest part of the
240,"town is a fair palace of the emperor’s, Emperor's","town is a fair palace of the emperor’s, Emperor's","town is a fair palace of the emperor’s, Emperors"
241,where there is a pleafant profpect of the palace.,where there is a pleasant prospect of the palace.,where there is a pleasant prospect of the palace.
242,Danube and the adjacent country. On the,Danube and the adjacent country. On the,Danube and the adjacent country. On the
243,"palace-gate is infcrib’d,","palace-gate is inscrib’d,","palace-gate is inscrib’d,"
